"Libellé","Niveau","Code Interne","Code ACTES","Transmissible ACTES","Transmissible CDG","Archivage"
"COMMANDE PUBLIQUE   ",1,"1","1",,,
" Marchés publics  ",2,"1.1","1.1","oui","non","oui"
" lancement consultation/attribution/autorisation signature  ",3,"1.1.1","1.1.1","oui","non","oui"
" avenants  ",3,"1.1.2","1.1.2","oui","non","oui"
" CAO  ",3,"1.1.3","1.1.3","oui","non","oui"
" Groupements de commandes  ",3,"1.1.4","1.1.4","oui","non","oui"
" Autres  ",3,"1.1.5","1.1.5","oui","non","oui"
" Délégations de service public  ",2,"1.2","1.2","oui","non","oui"
" lancement procédures/attribution/autorisation signature  ",3,"1.2.1","1.2.1","oui","non","oui"
" avenants  ",3,"1.2.2","1.2.2","oui","non","oui"
" Autres (commission d'ouverture des plis ?)  ",3,"1.2.3","1.2.3","oui","non","oui"
" Conventions de mandat  ",2,"1.3","1.3","oui","non","oui"
" Autres contrats  ",2,"1.4","1.4","oui","non","oui"
" Transactions (protocole d'accord transactionnels)  ",2,"1.5","1.5","oui","non","oui"
" Maîtrise d'oeuvre  ",2,"1.6","1.6","oui","non","oui"
" lancement procédures/ attribution/autorisation - signature  ",3,"1.6.1","1.6.1","oui","non","oui"
" avenants  ",3,"1.6.2","1.6.2","oui","non","oui"
" jurys  ",3,"1.6.3","1.6.3","oui","non","oui"
" Actes spéciaux et divers ",2,"1.7","1.7","oui","non","oui"
" URBANISME         ",1,"2","2",,,
" Documents d'urbanisme    ",2,"2.1","2.1","oui","non","oui"
" SCOT  ",3,"2.1.1","2.1.1","oui","non","oui"
" PLU  ",3,"2.1.2","2.1.2","oui","non","oui"
" Cartes communales  ",3,"2.1.3","2.1.3","oui","non","oui"
" Opérations d'aménagement (ZAC, ZAD?)  ",3,"2.1.4","2.1.4","oui","non","oui"
" Autres  ",3,"2.1.5","2.1.5","oui","non","oui"
" Actes relatifs au droit d'occupation ou d'utilisation des sols     ",2,"2.2","2.2","oui","non","oui"
" Certificat d'urbanisme  ",3,"2.2.1","2.2.1","oui","non","oui"
" Permis de construire  ",3,"2.2.2","2.2.2","oui","non","oui"
" Permis de démolir  ",3,"2.2.3","2.2.3","oui","non","oui"
" Permis de lotir  ",3,"2.2.4","2.2.4","oui","non","oui"
" Déclaration de travaux  ",3,"2.2.5","2.2.5","oui","non","oui"
